,Perioden,Opdrachtgever,Eigendom,Woningen_2,Wooneenheden_3,Recreatiewoningen_4
,,,,sum,sum,sum
114,2016-12-01,Andere particuliere opdrachtgevers,Huurwoningen,98.0,0.0,35.0
115,2016-12-01,Andere particuliere opdrachtgevers,Koopwoningen,2698.0,0.0,39.0
116,2016-12-01,Bouwers voor de markt,Huurwoningen,3467.0,16.0,0.0
117,2016-12-01,Bouwers voor de markt,Koopwoningen,7795.0,0.0,71.0
118,2016-12-01,Overheid of woningcorporatie,Huurwoningen,1112.0,56.0,12.0
119,2016-12-01,Overheid of woningcorporatie,Koopwoningen,221.0,0.0,0.0
120,2017-03-01,Andere particuliere opdrachtgevers,Huurwoningen,98.0,0.0,10.0
121,2017-03-01,Andere particuliere opdrachtgevers,Koopwoningen,2417.0,0.0,35.0
122,2017-03-01,Bouwers voor de markt,Huurwoningen,4166.0,249.0,10.0
123,2017-03-01,Bouwers voor de markt,Koopwoningen,7209.0,0.0,239.0
124,2017-03-01,Overheid of woningcorporatie,Huurwoningen,1948.0,0.0,0.0
125,2017-03-01,Overheid of woningcorporatie,Koopwoningen,336.0,0.0,0.0
126,2017-06-01,Andere particuliere opdrachtgevers,Huurwoningen,76.0,0.0,40.0
127,2017-06-01,Andere particuliere opdrachtgevers,Koopwoningen,2370.0,0.0,48.0
128,2017-06-01,Bouwers voor de markt,Huurwoningen,3968.0,0.0,0.0
129,2017-06-01,Bouwers voor de markt,Koopwoningen,7906.0,0.0,78.0
130,2017-06-01,Overheid of woningcorporatie,Huurwoningen,1218.0,0.0,0.0
131,2017-06-01,Overheid of woningcorporatie,Koopwoningen,106.0,0.0,0.0
132,2017-09-01,Andere particuliere opdrachtgevers,Huurwoningen,136.0,0.0,20.0
133,2017-09-01,Andere particuliere opdrachtgevers,Koopwoningen,2412.0,0.0,57.0
134,2017-09-01,Bouwers voor de markt,Huurwoningen,5195.0,7.0,16.0
135,2017-09-01,Bouwers voor de markt,Koopwoningen,9537.0,0.0,92.0
136,2017-09-01,Overheid of woningcorporatie,Huurwoningen,1473.0,318.0,0.0
137,2017-09-01,Overheid of woningcorporatie,Koopwoningen,239.0,0.0,0.0
138,2017-12-01,Andere particuliere opdrachtgevers,Huurwoningen,363.0,0.0,38.0
